"tank_ID","pop","trt","cc","method","offset","isAlive","surv","tank_num"
"C2","HOR","TempControl-7psu","mll","rda",0.2778420894863,0,0,10
"C2","KAL","TempControl-21psu","mll","gf",0.0519939833917116,1,1,10
"C2","VAT","TempControl-7psu","mll","lea",0.0136808216134053,0,0,10
"C2","KUR","TempControl-21psu","mll","lea",0.0101466007458098,1,1,10
"C2","VAT","TempControl-21psu","full","gf",0.0648669175175783,1,1,10
"C2","VAT","TempControl-7psu","full","lea",0.0136677351124229,0,0,10
"C2","BJO","TempControl-7psu","full","lea",0.00860988699958254,1,1,10
"C2","VAT","TempControl-7psu","mll","rda",2.23098962194305,1,1,10
"C2","KAL","TempControl-7psu","full","rda",0.0874772162800667,1,1,10
"C2","KAL","TempControl-7psu","full","rda",0.0874772162800667,1,1,10
"C2","HOR","TempControl-21psu","full","gf",0.0822463901090242,1,1,10
"C2","HOG","TempControl-21psu","full","gf",0.0749036582149313,1,1,10
"C2","BAR","TempControl-21psu","full","rda",2.416487443602,1,1,10
"C2","BAR","TempControl-21psu","full","lea",0.00798694155968836,1,1,10
"C2","VAT","TempControl-7psu","mll","rda",2.23098962194305,0,0,10
"C2","KUR","TempControl-21psu","mll","rda",2.72349363814396,1,1,10
"C2","HOR","TempControl-21psu","full","lea",0.0130561837819121,1,1,10
"C2","BAR","TempControl-21psu","mll","gf",0.0490786082468778,1,1,10
"C2","BJO","TempControl-7psu","full","rda",0.524898138495719,1,1,10
"C2","HOG","TempControl-21psu","mll","gf",0.0483599278168645,1,1,10
"C2","VAT","TempControl-21psu","full","lea",0.00865817083691104,1,1,10
"C2","BAR","TempControl-21psu","mll","rda",1.85015490733416,1,1,10
"C2","HOG","TempControl-7psu","mll","lea",0.00853679856324015,0,0,10
"C2","HOG","TempControl-7psu","mll","lea",0.00853679856324015,0,0,10
"C2","VIK","TempControl-7psu","mll","rda",2.24669101595342,1,1,10
"C2","HOG","TempControl-21psu","mll","rda",1.64589774079523,1,1,10
"C2","BAR","TempControl-7psu","full","gf",0.0510150602602953,1,1,10
"C2","VIK","TempControl-21psu","full","lea",0.00529093522425913,1,1,10
"C2","HOR","TempControl-7psu","mll","lea",0.00500484470606123,0,0,10
"C2","KAL","TempControl-21psu","mll","rda",2.93478273197384,1,1,10
"C2","VIK","TempControl-7psu","full","lea",0.00899849955586203,1,1,10
"C2","HOR","TempControl-21psu","mll","gf",0.054211245591984,0,0,10
"C2","BJO","TempControl-21psu","mll","lea",0.0181832590308294,1,1,10
"C2","KAL","TempControl-7psu","mll","rda",0.151778614193923,1,1,10
"C2","HOG","TempControl-7psu","mll","rda",1.40036534312938,0,0,10
"C2","HOG","TempControl-7psu","mll","rda",1.40036534312938,0,0,10
"C2","VIK","TempControl-7psu","mll","rda",2.24669101595342,0,0,10
"C2","VIK","TempControl-7psu","mll","lea",0.00937079354091767,0,0,10
"C2","HOR","TempControl-7psu","full","gf",0.042634624078671,0,0,10
"C2","VIK","TempControl-21psu","full","rda",1.12059428006735,1,1,10
"C2","VAT","TempControl-7psu","full","lea",0.0136677351124229,1,1,10
"C2","HOR","TempControl-7psu","mll","lea",0.00500484470606123,1,1,10
"C2","KAL","TempControl-21psu","mll","lea",0.00888266794960439,1,1,10
"C2","VIK","TempControl-21psu","mll","lea",0.00624979451824577,1,1,10
"C2","HOG","TempControl-7psu","mll","gf",0.0370764159429167,0,0,10
"C2","KAL","TempControl-7psu","mll","gf",0.0268338847263667,1,1,10
"C2","VIK","TempControl-21psu","full","lea",0.00529093522425913,1,1,10
"C2","KAL","TempControl-7psu","mll","gf",0.0268338847263667,1,1,10
"C2","VIK","TempControl-7psu","mll","lea",0.00937079354091767,1,1,10
"C2","KUR","TempControl-21psu","full","lea",0.0106292029067329,1,1,10
"C2","HOG","TempControl-7psu","mll","gf",0.0370764159429167,0,0,10
"C2","KUR","TempControl-7psu","mll","lea",0.00489546564716927,1,1,10
"C2","BJO","TempControl-21psu","full","lea",0.0183023148797625,1,1,10
"C2","BJO","TempControl-7psu","mll","gf",0.0376171887951399,1,1,10
"C2","VAT","TempControl-7psu","full","rda",2.03659970493134,0,0,10
"C2","VAT","TempControl-21psu","mll","rda",0.814563568338807,1,1,10
"C2","BJO","TempControl-21psu","mll","rda",3.26586181047783,1,1,10
"C2","BJO","TempControl-21psu","full","lea",0.0183023148797625,1,1,10
"C3","BJO","TempControl-7psu","mll","rda",0.345922510862077,0,0,11
"C3","KUR","TempControl-21psu","mll","rda",2.72349363814396,1,1,11
"C3","HOG","TempControl-21psu","full","rda",2.16142300049655,1,1,11
"C3","HOR","TempControl-21psu","full","lea",0.0130561837819121,1,1,11
"C3","HOG","TempControl-7psu","mll","lea",0.00853679856324015,0,0,11
"C3","KUR","TempControl-7psu","full","rda",0.194293917747448,0,0,11
"C3","BAR","TempControl-7psu","full","gf",0.0510150602602953,1,1,11
"C3","BAR","TempControl-7psu","full","lea",0.00662757668091765,1,1,11
"C3","VIK","TempControl-21psu","full","gf",0.0534623957198638,1,1,11
"C3","VIK","TempControl-21psu","full","rda",1.12059428006735,1,1,11
"C3","HOG","TempControl-7psu","full","lea",0.00766430037064356,0,0,11
"C3","HOG","TempControl-21psu","mll","rda",1.64589774079523,1,1,11
"C3","HOG","TempControl-7psu","mll","rda",1.40036534312938,0,0,11
"C3","KUR","TempControl-7psu","mll","gf",0.0325305541759595,0,0,11
"C3","VAT","TempControl-7psu","mll","gf",0.048850145099321,0,0,11
"C3","KUR","TempControl-21psu","mll","gf",0.0535413706865548,1,1,11
"C3","BJO","TempControl-7psu","full","lea",0.00860988699958254,0,0,11
"C3","VAT","TempControl-7psu","full","gf",0.0713196542449804,0,0,11
"C3","VAT","TempControl-7psu","mll","lea",0.0136808216134053,0,0,11
"C3","BJO","TempControl-21psu","mll","lea",0.0181832590308294,1,1,11
"C3","HOG","TempControl-7psu","full","lea",0.00766430037064356,0,0,11
"C3","BAR","TempControl-7psu","full","rda",1.01142729667696,1,1,11
"C3","HOR","TempControl-21psu","full","gf",0.0822463901090242,1,1,11
"C3","KAL","TempControl-21psu","mll","lea",0.00888266794960439,1,1,11
"C3","VIK","TempControl-21psu","mll","gf",0.0388485636807072,1,1,11
"C3","KAL","TempControl-7psu","full","gf",0.0336601636251709,1,1,11
"C3","KUR","TempControl-7psu","full","lea",0.0039312205209114,0,0,11
"C3","BJO","TempControl-21psu","full","lea",0.0183023148797625,1,1,11
"C3","HOG","TempControl-7psu","full","gf",0.0510938890253881,0,0,11
"C3","HOG","TempControl-7psu","full","rda",1.27226445721745,0,0,11
"C3","KUR","TempControl-21psu","full","rda",3.24806259688291,1,1,11
"C3","BJO","TempControl-7psu","mll","lea",0.0106037999923931,0,0,11
"C3","HOR","TempControl-7psu","full","rda",0.496378346506273,1,1,11
"C3","KAL","TempControl-7psu","mll","rda",0.151778614193923,1,1,11
"C3","BJO","TempControl-7psu","full","rda",0.524898138495719,0,0,11
"C3","KAL","TempControl-21psu","full","lea",0.00994482695244589,1,1,11
"C3","HOG","TempControl-7psu","mll","gf",0.0370764159429167,0,0,11
"C3","BAR","TempControl-7psu","mll","lea",0.00734592353575743,1,1,11
"C3","HOG","TempControl-21psu","mll","lea",0.00911460320275041,1,1,11
"C3","KUR","TempControl-21psu","full","gf",0.0819319947767753,1,1,11
"C3","VAT","TempControl-21psu","mll","rda",0.814563568338807,1,1,11
"C3","KAL","TempControl-7psu","mll","gf",0.0268338847263667,1,1,11
"C3","BAR","TempControl-21psu","full","rda",2.416487443602,1,1,11
"C3","KUR","TempControl-21psu","full","gf",0.0819319947767753,1,1,11
"C3","KUR","TempControl-21psu","full","rda",3.24806259688291,1,1,11
"C3","VIK","TempControl-21psu","mll","gf",0.0388485636807072,1,1,11
"C3","BJO","TempControl-7psu","full","gf",0.0558247223670392,0,0,11
"C3","KUR","TempControl-7psu","mll","lea",0.00489546564716927,0,0,11
"C3","KUR","TempControl-7psu","mll","gf",0.0325305541759595,0,0,11
"C3","BAR","TempControl-7psu","full","lea",0.00662757668091765,1,1,11
"C3","HOR","TempControl-21psu","mll","lea",0.012309100498949,1,1,11
"C3","BJO","TempControl-21psu","full","gf",0.0928084373319246,1,1,11
"C3","VAT","TempControl-21psu","mll","gf",0.043362328201887,1,1,11
"C3","BAR","TempControl-21psu","full","lea",0.00798694155968836,1,1,11
"C3","HOG","TempControl-21psu","full","rda",2.16142300049655,1,1,11
"C3","HOR","TempControl-7psu","mll","rda",0.2778420894863,1,1,11
"C3","KAL","TempControl-21psu","full","rda",3.43303523955674,1,1,11
"C3","BAR","TempControl-7psu","mll","rda",1.18858416069832,1,1,11
"C3","KAL","TempControl-7psu","full","rda",0.0874772162800667,1,1,11
"C3","KUR","TempControl-7psu","mll","rda",0.333591858219086,0,0,11
"C3","KAL","TempControl-7psu","full","gf",0.0336601636251709,1,1,11
"C3","HOR","TempControl-21psu","mll","rda",3.26372171715906,1,1,11
"C3","HOG","TempControl-7psu","full","gf",0.0510938890253881,0,0,11
"C3","BJO","TempControl-21psu","mll","rda",3.26586181047783,1,1,11
"C3","KAL","TempControl-7psu","mll","lea",0.00257395160581669,1,1,11
"C3","BJO","TempControl-7psu","mll","rda",0.345922510862077,0,0,11
"C3","VAT","TempControl-7psu","mll","rda",2.23098962194305,0,0,11
"C3","HOR","TempControl-7psu","mll","gf",0.0306280848445055,1,1,11
"C3","VAT","TempControl-21psu","mll","lea",0.010110404669256,1,1,11
"C3","BAR","TempControl-7psu","mll","gf",0.03646091000673,1,1,11
"C3","BJO","TempControl-7psu","full","lea",0.00860988699958254,0,0,11
"C3","VAT","TempControl-21psu","mll","lea",0.010110404669256,1,1,11
"C3","KUR","TempControl-21psu","mll","rda",2.72349363814396,1,1,11
"C3","HOR","TempControl-21psu","mll","gf",0.054211245591984,1,1,11
"C3","HOG","TempControl-7psu","mll","gf",0.0370764159429167,0,0,11
"C3","BAR","TempControl-21psu","full","gf",0.0757031686195213,1,1,11
"C3","KAL","TempControl-7psu","full","lea",0.00207720689029909,1,1,11
"C3","BAR","TempControl-21psu","full","gf",0.0757031686195213,1,1,11
"C3","HOR","TempControl-21psu","full","rda",3.91811161457199,1,1,11
"C3","BJO","TempControl-21psu","full","rda",3.93335268489373,1,1,11
"C3","KAL","TempControl-21psu","mll","rda",2.93478273197384,1,1,11
"C3","HOG","TempControl-21psu","mll","gf",0.0483599278168645,1,1,11
"C3","VAT","TempControl-21psu","full","lea",0.00865817083691104,1,1,11
"C3","BJO","TempControl-21psu","full","rda",3.93335268489373,1,1,11
"C3","BJO","TempControl-21psu","full","lea",0.0183023148797625,1,1,11
"C3","HOR","TempControl-21psu","full","gf",0.0822463901090242,1,1,11
"C3","KUR","TempControl-21psu","mll","lea",0.0101466007458098,1,1,11
"C3","BAR","TempControl-21psu","mll","lea",0.00871630023878949,1,1,11
"C3","KAL","TempControl-7psu","full","rda",0.0874772162800667,1,1,11
"C3","BAR","TempControl-7psu","mll","rda",1.18858416069832,1,1,11
"C3","HOG","TempControl-7psu","full","rda",1.27226445721745,0,0,11
"C3","BAR","TempControl-21psu","full","lea",0.00798694155968836,1,1,11
"C3","KAL","TempControl-21psu","mll","gf",0.0519939833917116,1,1,11
"C3","KUR","TempControl-7psu","mll","rda",0.333591858219086,0,0,11
"C3","BJO","TempControl-7psu","full","gf",0.0558247223670392,0,0,11
"C3","KUR","TempControl-21psu","mll","gf",0.0535413706865548,1,1,11
"C3","VAT","TempControl-21psu","full","rda",1.38554045987025,1,1,11
"C3","HOR","TempControl-7psu","full","lea",0.00399932483018119,1,1,11
"C3","KUR","TempControl-7psu","full","gf",0.0446089042446935,0,0,11
"C3","BAR","TempControl-21psu","mll","rda",1.85015490733416,1,1,11
"C3","HOR","TempControl-7psu","full","lea",0.00399932483018119,1,1,11
"C3","HOG","TempControl-21psu","full","lea",0.00819072364121176,1,1,11
"C3","KAL","TempControl-7psu","mll","lea",0.00257395160581669,1,1,11
"C3","BAR","TempControl-7psu","mll","gf",0.03646091000673,1,1,11
"C3","VAT","TempControl-21psu","full","gf",0.0648669175175783,1,1,11
"C3","KUR","TempControl-7psu","full","rda",0.194293917747448,0,0,11
"C3","HOG","TempControl-21psu","full","gf",0.0749036582149313,1,1,11
"C3","HOG","TempControl-7psu","mll","lea",0.00853679856324015,0,0,11
"C3","KAL","TempControl-21psu","full","gf",0.0775834372250432,1,1,11
"C3","BJO","TempControl-7psu","mll","gf",0.0376171887951399,0,0,11
"C3","VAT","TempControl-21psu","mll","rda",0.814563568338807,1,1,11
"C3","VAT","TempControl-7psu","mll","gf",0.048850145099321,0,0,11
"C3","HOR","TempControl-7psu","full","rda",0.496378346506273,1,1,11
"C3","KAL","TempControl-21psu","mll","rda",2.93478273197384,1,1,11
"C3","KAL","TempControl-7psu","full","lea",0.00207720689029909,1,1,11
"C3","BAR","TempControl-21psu","mll","gf",0.0490786082468778,1,1,11
"C3","VIK","TempControl-21psu","full","lea",0.00529093522425913,1,1,11
"C3","KUR","TempControl-7psu","full","gf",0.0446089042446935,0,0,11
"C3","VIK","TempControl-21psu","mll","lea",0.00624979451824577,1,1,11
"C3","HOR","TempControl-7psu","full","gf",0.042634624078671,1,1,11
"C3","BJO","TempControl-21psu","mll","gf",0.0599209950928221,1,1,11
"C3","KUR","TempControl-7psu","mll","lea",0.00489546564716927,0,0,11
"C3","VAT","TempControl-21psu","mll","gf",0.043362328201887,1,1,11
"C3","BJO","TempControl-7psu","full","rda",0.524898138495719,0,0,11
"C3","VAT","TempControl-7psu","full","gf",0.0713196542449804,0,0,11
"C3","KAL","TempControl-21psu","mll","gf",0.0519939833917116,1,1,11
"C3","VAT","TempControl-21psu","full","rda",1.38554045987025,1,1,11
"C3","VAT","TempControl-7psu","full","rda",2.03659970493134,0,0,11
"C3","VIK","TempControl-21psu","full","rda",1.12059428006735,1,1,11
"C3","BAR","TempControl-21psu","mll","lea",0.00871630023878949,1,1,11
"C3","BJO","TempControl-7psu","mll","lea",0.0106037999923931,0,0,11
"C3","VIK","TempControl-21psu","mll","rda",0.803166844691957,1,1,11
"C3","HOR","TempControl-7psu","mll","gf",0.0306280848445055,1,1,11
"C3","HOR","TempControl-7psu","mll","rda",0.2778420894863,1,1,11
"C3","VAT","TempControl-21psu","full","gf",0.0648669175175783,1,1,11
"C3","BJO","TempControl-21psu","full","gf",0.0928084373319246,1,1,11
"C3","VIK","TempControl-7psu","mll","gf",0.0417944880358398,1,1,11
"C3","VIK","TempControl-21psu","full","lea",0.00529093522425913,1,1,11
"C3","HOG","TempControl-21psu","full","gf",0.0749036582149313,1,1,11
"C3","VAT","TempControl-7psu","mll","rda",2.23098962194305,0,0,11
"C3","VAT","TempControl-7psu","mll","lea",0.0136808216134053,0,0,11
"C3","VIK","TempControl-7psu","full","gf",0.0604427054956303,1,1,11
"C3","BAR","TempControl-7psu","full","rda",1.01142729667696,1,1,11
"C3","BAR","TempControl-21psu","mll","rda",1.85015490733416,1,1,11
"C3","BAR","TempControl-21psu","full","rda",2.416487443602,1,1,11
"C3","HOR","TempControl-21psu","full","rda",3.91811161457199,1,1,11
"C3","HOG","TempControl-7psu","mll","rda",1.40036534312938,0,0,11
"C3","BJO","TempControl-21psu","mll","rda",3.26586181047783,1,1,11
"C3","HOG","TempControl-21psu","full","lea",0.00819072364121176,1,1,11
"C3","VIK","TempControl-7psu","full","lea",0.00899849955586203,1,1,11
"C3","BAR","TempControl-7psu","full","gf",0.0510150602602953,1,1,11
"C3","VIK","TempControl-7psu","mll","rda",2.24669101595342,1,1,11
"C3","KAL","TempControl-21psu","full","lea",0.00994482695244589,1,1,11
"C3","KAL","TempControl-7psu","mll","rda",0.151778614193923,1,1,11
"C3","VIK","TempControl-7psu","full","gf",0.0604427054956303,1,1,11
"C3","HOG","TempControl-21psu","mll","lea",0.00911460320275041,1,1,11
"C3","VAT","TempControl-7psu","full","lea",0.0136677351124229,0,0,11
"C3","VAT","TempControl-21psu","full","lea",0.00865817083691104,1,1,11
"C3","VIK","TempControl-7psu","full","rda",2.31495201494668,1,1,11
"C3","BJO","TempControl-7psu","mll","gf",0.0376171887951399,0,0,11
"C3","VIK","TempControl-7psu","full","lea",0.00899849955586203,1,1,11
"C3","HOR","TempControl-7psu","mll","lea",0.00500484470606123,1,1,11
"C3","BAR","TempControl-7psu","mll","lea",0.00734592353575743,1,1,11
"C3","BJO","TempControl-21psu","mll","lea",0.0181832590308294,1,1,11
"C3","HOG","TempControl-21psu","mll","rda",1.64589774079523,1,1,11
"C3","KUR","TempControl-7psu","full","lea",0.0039312205209114,0,0,11
"C3","HOR","TempControl-21psu","mll","lea",0.012309100498949,1,1,11
"C3","KUR","TempControl-21psu","full","lea",0.0106292029067329,1,1,11
"C3","VAT","TempControl-7psu","full","lea",0.0136677351124229,0,0,11
"C3","KUR","TempControl-21psu","mll","lea",0.0101466007458098,1,1,11
"C3","HOR","TempControl-21psu","full","lea",0.0130561837819121,1,1,11
"C3","VIK","TempControl-7psu","mll","lea",0.00937079354091767,1,1,11
"C3","VIK","TempControl-7psu","mll","gf",0.0417944880358398,1,1,11
"C3","HOG","TempControl-21psu","mll","gf",0.0483599278168645,1,1,11
"C3","HOR","TempControl-21psu","mll","rda",3.26372171715906,1,1,11
"C3","VIK","TempControl-7psu","mll","lea",0.00937079354091767,1,1,11
"C3","KAL","TempControl-21psu","full","rda",3.43303523955674,1,1,11
"C3","HOR","TempControl-21psu","mll","gf",0.054211245591984,1,1,11
"C3","BJO","TempControl-21psu","mll","gf",0.0599209950928221,1,1,11
"C3","KUR","TempControl-21psu","full","lea",0.0106292029067329,1,1,11
"C3","HOR","TempControl-7psu","full","gf",0.042634624078671,1,1,11
"C3","VIK","TempControl-21psu","full","gf",0.0534623957198638,1,1,11
"C3","HOR","TempControl-7psu","mll","lea",0.00500484470606123,1,1,11
"C3","VIK","TempControl-7psu","mll","rda",2.24669101595342,1,1,11
"C3","VIK","TempControl-7psu","full","rda",2.31495201494668,1,1,11
"C3","VAT","TempControl-7psu","full","rda",2.03659970493134,0,0,11
"C3","KAL","TempControl-21psu","mll","lea",0.00888266794960439,1,1,11
"C3","BAR","TempControl-21psu","mll","gf",0.0490786082468778,1,1,11
"C3","VIK","TempControl-21psu","mll","lea",0.00624979451824577,1,1,11
"C3","KAL","TempControl-21psu","full","gf",0.0775834372250432,1,1,11
"C3","VIK","TempControl-21psu","mll","rda",0.803166844691957,1,1,11
"C3","KAL","TempControl-7psu","mll","gf",0.0268338847263667,1,1,11
"C4","KUR","TempControl-21psu","mll","rda",2.72349363814396,1,1,12
"C4","VAT","TempControl-7psu","mll","lea",0.0136808216134053,0,0,12
"C4","KAL","TempControl-21psu","full","rda",3.43303523955674,1,1,12
"C4","KUR","TempControl-7psu","mll","gf",0.0325305541759595,1,1,12
"C4","KAL","TempControl-7psu","full","lea",0.00207720689029909,1,1,12
"C4","KAL","TempControl-7psu","full","gf",0.0336601636251709,1,1,12
"C4","KAL","TempControl-7psu","mll","rda",0.151778614193923,1,1,12
"C4","KUR","TempControl-21psu","full","rda",3.24806259688291,1,1,12
"C4","KUR","TempControl-7psu","full","rda",0.194293917747448,1,1,12
"C4","HOR","TempControl-7psu","full","lea",0.00399932483018119,0,0,12
"C4","VIK","TempControl-7psu","full","lea",0.00899849955586203,1,1,12
"C4","VAT","TempControl-7psu","mll","gf",0.048850145099321,0,0,12
"C4","HOG","TempControl-21psu","full","rda",2.16142300049655,1,1,12
"C4","BJO","TempControl-21psu","mll","lea",0.0181832590308294,1,1,12
"C4","BAR","TempControl-7psu","mll","gf",0.03646091000673,1,1,12
"C4","VIK","TempControl-21psu","mll","gf",0.0388485636807072,1,1,12
"C4","BAR","TempControl-7psu","full","rda",1.01142729667696,1,1,12
"C4","KAL","TempControl-7psu","full","gf",0.0336601636251709,1,1,12
"C4","KAL","TempControl-21psu","mll","rda",2.93478273197384,1,1,12
"C4","KUR","TempControl-21psu","full","gf",0.0819319947767753,1,1,12
"C4","VAT","TempControl-21psu","full","gf",0.0648669175175783,1,1,12
"C4","HOG","TempControl-21psu","full","lea",0.00819072364121176,0,0,12
"C4","HOG","TempControl-21psu","full","gf",0.0749036582149313,0,0,12
"C4","KAL","TempControl-7psu","full","rda",0.0874772162800667,1,1,12
"C4","BAR","TempControl-7psu","full","gf",0.0510150602602953,0,0,12
"C4","BAR","TempControl-21psu","full","lea",0.00798694155968836,1,1,12
"C4","HOG","TempControl-21psu","full","rda",2.16142300049655,0,0,12
"C4","BAR","TempControl-21psu","mll","rda",1.85015490733416,1,1,12
"C4","KAL","TempControl-7psu","mll","rda",0.151778614193923,1,1,12
"C4","VAT","TempControl-21psu","full","lea",0.00865817083691104,1,1,12
"C4","BJO","TempControl-21psu","mll","rda",3.26586181047783,1,1,12
"C4","BAR","TempControl-7psu","mll","lea",0.00734592353575743,1,1,12
"C4","VAT","TempControl-21psu","full","rda",1.38554045987025,1,1,12
"C4","VAT","TempControl-7psu","full","rda",2.03659970493134,0,0,12
"C4","HOR","TempControl-7psu","mll","lea",0.00500484470606123,0,0,12
"C4","VIK","TempControl-21psu","full","rda",1.12059428006735,1,1,12
"C4","HOG","TempControl-7psu","full","gf",0.0510938890253881,1,1,12
"C4","KAL","TempControl-7psu","mll","lea",0.00257395160581669,1,1,12
"C4","BJO","TempControl-7psu","mll","rda",0.345922510862077,1,1,12
"C4","BJO","TempControl-7psu","full","gf",0.0558247223670392,1,1,12
"C4","BAR","TempControl-7psu","full","lea",0.00662757668091765,0,0,12
"C4","KUR","TempControl-21psu","mll","lea",0.0101466007458098,1,1,12
"C4","KAL","TempControl-21psu","mll","gf",0.0519939833917116,1,1,12
"C4","BAR","TempControl-7psu","mll","rda",1.18858416069832,1,1,12
"C4","BJO","TempControl-21psu","full","gf",0.0928084373319246,1,1,12
"C4","BJO","TempControl-21psu","full","rda",3.93335268489373,1,1,12
"C4","VAT","TempControl-7psu","full","gf",0.0713196542449804,0,0,12
"C4","BAR","TempControl-21psu","mll","lea",0.00871630023878949,1,1,12
"C4","BAR","TempControl-7psu","mll","gf",0.03646091000673,0,0,12
"C4","KAL","TempControl-21psu","full","gf",0.0775834372250432,1,1,12
"C4","VAT","TempControl-7psu","mll","rda",2.23098962194305,0,0,12
"C4","BAR","TempControl-21psu","full","rda",2.416487443602,1,1,12
"C4","HOG","TempControl-7psu","mll","lea",0.00853679856324015,1,1,12
"C4","HOR","TempControl-21psu","mll","rda",3.26372171715906,1,1,12
"C4","VAT","TempControl-21psu","mll","lea",0.010110404669256,1,1,12
"C4","VAT","TempControl-21psu","full","gf",0.0648669175175783,1,1,12
"C4","BJO","TempControl-7psu","full","lea",0.00860988699958254,1,1,12
"C4","BJO","TempControl-7psu","mll","lea",0.0106037999923931,1,1,12
"C4","KUR","TempControl-21psu","mll","gf",0.0535413706865548,1,1,12
"C4","HOG","TempControl-7psu","mll","gf",0.0370764159429167,1,1,12
"C4","BAR","TempControl-21psu","full","gf",0.0757031686195213,1,1,12
"C4","HOG","TempControl-21psu","mll","rda",1.64589774079523,1,1,12
"C4","VIK","TempControl-7psu","full","rda",2.31495201494668,1,1,12
"C4","HOG","TempControl-21psu","mll","gf",0.0483599278168645,0,0,12
"C4","BAR","TempControl-7psu","full","lea",0.00662757668091765,1,1,12
"C4","HOG","TempControl-7psu","mll","rda",1.40036534312938,1,1,12
"C4","KUR","TempControl-7psu","mll","rda",0.333591858219086,1,1,12
"C4","HOG","TempControl-7psu","full","lea",0.00766430037064356,1,1,12
"C4","VAT","TempControl-21psu","full","rda",1.38554045987025,1,1,12
"C4","KUR","TempControl-7psu","mll","rda",0.333591858219086,1,1,12
"C4","HOG","TempControl-21psu","full","gf",0.0749036582149313,1,1,12
"C4","KAL","TempControl-7psu","full","rda",0.0874772162800667,1,1,12
"C4","VIK","TempControl-7psu","full","rda",2.31495201494668,0,0,12
"C4","VAT","TempControl-7psu","mll","lea",0.0136808216134053,0,0,12
"C4","HOR","TempControl-7psu","mll","rda",0.2778420894863,0,0,12
"C4","VAT","TempControl-21psu","mll","lea",0.010110404669256,1,1,12
"C4","HOR","TempControl-7psu","full","lea",0.00399932483018119,0,0,12
"C4","VIK","TempControl-7psu","full","gf",0.0604427054956303,1,1,12
"C4","BJO","TempControl-21psu","full","gf",0.0928084373319246,1,1,12
"C4","BJO","TempControl-21psu","mll","rda",3.26586181047783,1,1,12
"C4","BAR","TempControl-7psu","full","rda",1.01142729667696,0,0,12
"C4","KUR","TempControl-7psu","full","rda",0.194293917747448,1,1,12
"C4","HOR","TempControl-21psu","mll","rda",3.26372171715906,1,1,12
"C4","VIK","TempControl-21psu","full","rda",1.12059428006735,1,1,12
"C4","KAL","TempControl-21psu","mll","gf",0.0519939833917116,1,1,12
"C4","BAR","TempControl-21psu","mll","lea",0.00871630023878949,1,1,12
"C4","HOR","TempControl-21psu","full","lea",0.0130561837819121,1,1,12
"C4","BAR","TempControl-7psu","full","gf",0.0510150602602953,1,1,12
"C4","VIK","TempControl-7psu","mll","rda",2.24669101595342,1,1,12
"C4","BJO","TempControl-21psu","full","lea",0.0183023148797625,1,1,12
"C4","KUR","TempControl-7psu","full","gf",0.0446089042446935,1,1,12
"C4","HOR","TempControl-7psu","full","rda",0.496378346506273,0,0,12
"C4","VAT","TempControl-21psu","mll","gf",0.043362328201887,1,1,12
"C4","KUR","TempControl-7psu","full","gf",0.0446089042446935,1,1,12
"C4","HOG","TempControl-21psu","mll","gf",0.0483599278168645,1,1,12
"C4","BJO","TempControl-7psu","full","rda",0.524898138495719,1,1,12
"C4","KUR","TempControl-7psu","full","lea",0.0039312205209114,1,1,12
"C4","VIK","TempControl-7psu","full","gf",0.0604427054956303,0,0,12
"C4","KUR","TempControl-7psu","full","lea",0.0039312205209114,1,1,12
"C4","HOG","TempControl-21psu","mll","lea",0.00911460320275041,0,0,12
"C4","VAT","TempControl-21psu","mll","rda",0.814563568338807,1,1,12
"C4","BJO","TempControl-7psu","mll","lea",0.0106037999923931,0,0,12
"C4","BAR","TempControl-21psu","full","gf",0.0757031686195213,1,1,12
"C4","BAR","TempControl-7psu","mll","lea",0.00734592353575743,0,0,12
"C4","HOR","TempControl-21psu","full","gf",0.0822463901090242,1,1,12
"C4","KAL","TempControl-21psu","full","rda",3.43303523955674,1,1,12
"C4","HOG","TempControl-7psu","full","lea",0.00766430037064356,1,1,12
"C4","VIK","TempControl-7psu","mll","gf",0.0417944880358398,0,0,12
"C4","HOR","TempControl-21psu","mll","lea",0.012309100498949,1,1,12
"C4","VAT","TempControl-7psu","full","rda",2.03659970493134,0,0,12
"C4","BJO","TempControl-21psu","mll","lea",0.0181832590308294,1,1,12
"C4","VIK","TempControl-21psu","full","lea",0.00529093522425913,1,1,12
"C4","VAT","TempControl-21psu","mll","gf",0.043362328201887,1,1,12
"C4","VIK","TempControl-7psu","mll","gf",0.0417944880358398,1,1,12
"C4","VAT","TempControl-7psu","full","lea",0.0136677351124229,0,0,12
"C4","HOR","TempControl-7psu","full","rda",0.496378346506273,0,0,12
"C4","VIK","TempControl-21psu","full","gf",0.0534623957198638,1,1,12
"C4","BAR","TempControl-7psu","mll","rda",1.18858416069832,0,0,12
"C4","HOG","TempControl-7psu","full","gf",0.0510938890253881,1,1,12
"C4","HOG","TempControl-7psu","full","rda",1.27226445721745,1,1,12
"C4","BJO","TempControl-7psu","mll","rda",0.345922510862077,0,0,12
"C4","KUR","TempControl-21psu","mll","gf",0.0535413706865548,1,1,12
"C4","HOG","TempControl-21psu","full","lea",0.00819072364121176,1,1,12
"C4","VAT","TempControl-7psu","full","gf",0.0713196542449804,0,0,12
"C4","HOR","TempControl-7psu","mll","rda",0.2778420894863,0,0,12
"C4","KUR","TempControl-21psu","mll","rda",2.72349363814396,1,1,12
